station,valid,altimeter,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-05-10T00:00:00Z,29.9,2025-05-10,00:00:00,00,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:10:00Z,29.9,2025-05-10,00:10:00,10,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:15:00Z,29.9,2025-05-10,00:15:00,15,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:20:00Z,29.9,2025-05-10,00:20:00,20,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:30:00Z,29.9,2025-05-10,00:30:00,30,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:40:00Z,29.9,2025-05-10,00:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:45:00Z,29.9,2025-05-10,00:45:00,45,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T00:50:00Z,29.91,2025-05-10,00:50:00,50,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T01:00:00Z,29.9,2025-05-10,01:00:00,00,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:10:00Z,29.9,2025-05-10,01:10:00,10,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:15:00Z,29.9,2025-05-10,01:15:00,15,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:20:00Z,29.9,2025-05-10,01:20:00,20,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:30:00Z,29.9,2025-05-10,01:30:00,30,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:40:00Z,29.9,2025-05-10,01:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:45:00Z,29.9,2025-05-10,01:45:00,45,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T01:50:00Z,29.9,2025-05-10,01:50:00,50,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T02:00:00Z,29.9,2025-05-10,02:00:00,00,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T02:10:00Z,29.89,2025-05-10,02:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T02:15:00Z,29.89,2025-05-10,02:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T02:20:00Z,29.89,2025-05-10,02:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T02:30:00Z,29.89,2025-05-10,02:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T02:40:00Z,29.9,2025-05-10,02:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T02:45:00Z,29.9,2025-05-10,02:45:00,45,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T02:50:00Z,29.9,2025-05-10,02:50:00,50,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T03:00:00Z,29.9,2025-05-10,03:00:00,00,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T03:10:00Z,29.89,2025-05-10,03:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:15:00Z,29.89,2025-05-10,03:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:20:00Z,29.89,2025-05-10,03:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:30:00Z,29.89,2025-05-10,03:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:40:00Z,29.89,2025-05-10,03:40:00,40,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:45:00Z,29.89,2025-05-10,03:45:00,45,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T03:50:00Z,29.89,2025-05-10,03:50:00,50,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T04:00:00Z,29.88,2025-05-10,04:00:00,00,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T04:10:00Z,29.88,2025-05-10,04:10:00,10,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T04:15:00Z,29.87,2025-05-10,04:15:00,15,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T04:20:00Z,29.87,2025-05-10,04:20:00,20,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T04:30:00Z,29.87,2025-05-10,04:30:00,30,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T04:40:00Z,29.88,2025-05-10,04:40:00,40,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T04:45:00Z,29.88,2025-05-10,04:45:00,45,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T04:50:00Z,29.88,2025-05-10,04:50:00,50,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:00:00Z,29.88,2025-05-10,05:00:00,00,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:10:00Z,29.88,2025-05-10,05:10:00,10,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:15:00Z,29.88,2025-05-10,05:15:00,15,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:20:00Z,29.88,2025-05-10,05:20:00,20,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:30:00Z,29.88,2025-05-10,05:30:00,30,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:40:00Z,29.88,2025-05-10,05:40:00,40,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:45:00Z,29.88,2025-05-10,05:45:00,45,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T05:50:00Z,29.88,2025-05-10,05:50:00,50,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T06:00:00Z,29.89,2025-05-10,06:00:00,00,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:10:00Z,29.89,2025-05-10,06:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:15:00Z,29.89,2025-05-10,06:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:20:00Z,29.89,2025-05-10,06:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:30:00Z,29.89,2025-05-10,06:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:40:00Z,29.89,2025-05-10,06:40:00,40,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:45:00Z,29.89,2025-05-10,06:45:00,45,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T06:50:00Z,29.89,2025-05-10,06:50:00,50,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:00:00Z,29.89,2025-05-10,07:00:00,00,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:10:00Z,29.89,2025-05-10,07:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:15:00Z,29.89,2025-05-10,07:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:20:00Z,29.88,2025-05-10,07:20:00,20,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T07:30:00Z,29.89,2025-05-10,07:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:40:00Z,29.89,2025-05-10,07:40:00,40,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:45:00Z,29.89,2025-05-10,07:45:00,45,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T07:50:00Z,29.89,2025-05-10,07:50:00,50,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:00:00Z,29.89,2025-05-10,08:00:00,00,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:10:00Z,29.89,2025-05-10,08:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:15:00Z,29.89,2025-05-10,08:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:20:00Z,29.89,2025-05-10,08:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:30:00Z,29.89,2025-05-10,08:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:40:00Z,29.89,2025-05-10,08:40:00,40,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:45:00Z,29.89,2025-05-10,08:45:00,45,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T08:50:00Z,29.89,2025-05-10,08:50:00,50,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T09:00:00Z,29.89,2025-05-10,09:00:00,00,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T09:10:00Z,29.9,2025-05-10,09:10:00,10,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T09:15:00Z,29.9,2025-05-10,09:15:00,15,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T09:20:00Z,29.9,2025-05-10,09:20:00,20,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T09:30:00Z,29.9,2025-05-10,09:30:00,30,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T09:40:00Z,29.91,2025-05-10,09:40:00,40,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T09:45:00Z,29.91,2025-05-10,09:45:00,45,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T09:50:00Z,29.91,2025-05-10,09:50:00,50,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:00:00Z,29.91,2025-05-10,10:00:00,00,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:10:00Z,29.91,2025-05-10,10:10:00,10,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:15:00Z,29.91,2025-05-10,10:15:00,15,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:20:00Z,29.91,2025-05-10,10:20:00,20,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:30:00Z,29.91,2025-05-10,10:30:00,30,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T10:40:00Z,29.9,2025-05-10,10:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T10:45:00Z,29.9,2025-05-10,10:45:00,45,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T10:50:00Z,29.9,2025-05-10,10:50:00,50,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T11:00:00Z,29.91,2025-05-10,11:00:00,00,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T11:10:00Z,29.91,2025-05-10,11:10:00,10,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T11:15:00Z,29.91,2025-05-10,11:15:00,15,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T11:20:00Z,29.91,2025-05-10,11:20:00,20,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T11:30:00Z,29.92,2025-05-10,11:30:00,30,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-05-10T11:40:00Z,29.92,2025-05-10,11:40:00,40,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-05-10T11:45:00Z,29.93,2025-05-10,11:45:00,45,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-05-10T11:50:00Z,29.93,2025-05-10,11:50:00,50,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-05-10T12:00:00Z,29.93,2025-05-10,12:00:00,00,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-05-10T12:10:00Z,29.93,2025-05-10,12:10:00,10,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-05-10T12:15:00Z,29.93,2025-05-10,12:15:00,15,29.919349999121,101.31858764352336,33.89643745190367,10.331659019185363
SBA,2025-05-10T12:20:00Z,29.92,2025-05-10,12:20:00,20,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-05-10T12:30:00Z,29.92,2025-05-10,12:30:00,30,29.909353557424,101.28473579332507,33.88511221386428,10.328207078316943
SBA,2025-05-10T12:40:00Z,29.91,2025-05-10,12:40:00,40,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T12:45:00Z,29.91,2025-05-10,12:45:00,45,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T12:50:00Z,29.91,2025-05-10,12:50:00,50,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T13:00:00Z,29.91,2025-05-10,13:00:00,00,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T13:10:00Z,29.91,2025-05-10,13:10:00,10,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T13:15:00Z,29.91,2025-05-10,13:15:00,15,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T13:20:00Z,29.91,2025-05-10,13:20:00,20,29.899357115727,101.25088394312675,33.873786975824885,10.32475513744852
SBA,2025-05-10T13:30:00Z,29.9,2025-05-10,13:30:00,30,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T13:40:00Z,29.9,2025-05-10,13:40:00,40,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T13:45:00Z,29.9,2025-05-10,13:45:00,45,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T13:50:00Z,29.9,2025-05-10,13:50:00,50,29.889360674029998,101.21703209292845,33.86246173778549,10.321303196580098
SBA,2025-05-10T14:00:00Z,29.89,2025-05-10,14:00:00,00,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T14:10:00Z,29.89,2025-05-10,14:10:00,10,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T14:15:00Z,29.89,2025-05-10,14:15:00,15,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T14:20:00Z,29.89,2025-05-10,14:20:00,20,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T14:30:00Z,29.89,2025-05-10,14:30:00,30,29.879364232333,101.18318024273015,33.8511364997461,10.317851255711677
SBA,2025-05-10T14:40:00Z,29.88,2025-05-10,14:40:00,40,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T14:45:00Z,29.88,2025-05-10,14:45:00,45,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T14:50:00Z,29.88,2025-05-10,14:50:00,50,29.869367790636,101.14932839253186,33.83981126170671,10.314399314843257
SBA,2025-05-10T15:00:00Z,29.87,2025-05-10,15:00:00,00,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T15:10:00Z,29.87,2025-05-10,15:10:00,10,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T15:15:00Z,29.87,2025-05-10,15:15:00,15,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T15:20:00Z,29.87,2025-05-10,15:20:00,20,29.859371348939003,101.11547654233355,33.82848602366732,10.310947373974836
SBA,2025-05-10T15:30:00Z,29.86,2025-05-10,15:30:00,30,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-05-10T15:40:00Z,29.86,2025-05-10,15:40:00,40,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-05-10T15:45:00Z,29.86,2025-05-10,15:45:00,45,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-05-10T15:50:00Z,29.86,2025-05-10,15:50:00,50,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-05-10T16:00:00Z,29.86,2025-05-10,16:00:00,00,29.849374907242,101.08162469213525,33.81716078562793,10.307495433106416
SBA,2025-05-10T16:10:00Z,29.85,2025-05-10,16:10:00,10,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
