station,valid,alti,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-09-24T00:00:00Z,29.9,2025-09-24,00:00:00,00,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T00:10:00Z,29.89,2025-09-24,00:10:00,10,29.885952532861598,101.20546091180466,33.85859056442698,10.320123260098544
SBA,2025-09-24T00:20:00Z,29.89,2025-09-24,00:20:00,20,29.885952532861598,101.20546091180466,33.85859056442698,10.320123260098544
SBA,2025-09-24T00:30:00Z,29.91,2025-09-24,00:30:00,30,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T00:40:00Z,29.9,2025-09-24,00:40:00,40,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T00:50:00Z,29.9,2025-09-24,00:50:00,50,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T01:00:00Z,29.9,2025-09-24,01:00:00,00,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T01:10:00Z,29.91,2025-09-24,01:10:00,10,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T01:20:00Z,29.9,2025-09-24,01:20:00,20,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T01:30:00Z,29.9,2025-09-24,01:30:00,30,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T01:40:00Z,29.91,2025-09-24,01:40:00,40,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T01:50:00Z,29.91,2025-09-24,01:50:00,50,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T02:00:00Z,29.94,2025-09-24,02:00:00,00,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-09-24T02:10:00Z,29.93,2025-09-24,02:10:00,10,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T02:20:00Z,29.92,2025-09-24,02:20:00,20,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T02:30:00Z,29.91,2025-09-24,02:30:00,30,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T02:40:00Z,29.9,2025-09-24,02:40:00,40,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T02:50:00Z,29.91,2025-09-24,02:50:00,50,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T03:00:00Z,29.9,2025-09-24,03:00:00,00,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T03:10:00Z,29.89,2025-09-24,03:10:00,10,29.885952532861598,101.20546091180466,33.85859056442698,10.320123260098544
SBA,2025-09-24T03:20:00Z,29.9,2025-09-24,03:20:00,20,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T03:30:00Z,29.9,2025-09-24,03:30:00,30,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T03:40:00Z,29.91,2025-09-24,03:40:00,40,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T03:50:00Z,29.91,2025-09-24,03:50:00,50,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T04:00:00Z,29.91,2025-09-24,04:00:00,00,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T04:10:00Z,29.9,2025-09-24,04:10:00,10,29.895951178740773,101.23932021622481,33.86991829629866,10.323575961088876
SBA,2025-09-24T04:20:00Z,29.91,2025-09-24,04:20:00,20,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T04:30:00Z,29.91,2025-09-24,04:30:00,30,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T04:40:00Z,29.91,2025-09-24,04:40:00,40,29.905949824619952,101.27317952064494,33.881246028170324,10.327028662079206
SBA,2025-09-24T04:50:00Z,29.92,2025-09-24,04:50:00,50,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T05:00:00Z,29.92,2025-09-24,05:00:00,00,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T05:10:00Z,29.92,2025-09-24,05:10:00,10,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T05:20:00Z,29.93,2025-09-24,05:20:00,20,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T05:30:00Z,29.92,2025-09-24,05:30:00,30,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T05:40:00Z,29.92,2025-09-24,05:40:00,40,29.91594847049913,101.3070388250651,33.892573760042005,10.330481363069538
SBA,2025-09-24T05:50:00Z,29.93,2025-09-24,05:50:00,50,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:00:00Z,29.93,2025-09-24,06:00:00,00,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:10:00Z,29.93,2025-09-24,06:10:00,10,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:20:00Z,29.93,2025-09-24,06:20:00,20,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:30:00Z,29.93,2025-09-24,06:30:00,30,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:40:00Z,29.93,2025-09-24,06:40:00,40,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T06:50:00Z,29.93,2025-09-24,06:50:00,50,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T07:00:00Z,29.93,2025-09-24,07:00:00,00,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T07:10:00Z,29.93,2025-09-24,07:10:00,10,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T07:20:00Z,29.93,2025-09-24,07:20:00,20,29.925947116378307,101.34089812948523,33.90390149191367,10.333934064059866
SBA,2025-09-24T07:30:00Z,29.94,2025-09-24,07:30:00,30,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
SBA,2025-09-24T07:40:00Z,29.94,2025-09-24,07:40:00,40,29.935945762257486,101.37475743390539,33.915229223785346,10.3373867650502
