Serial_number:
2211737
Project ID:

Location:
Campus Lagoon
LEVEL
UNIT: ft
Offset: 0.000000 ft
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
12/23/2025,11:30:00 am,0,1.5158,17.207
12/23/2025,11:45:00 am,0,1.5170,17.132
12/23/2025,12:00:00 pm,0,1.5078,17.116
12/23/2025,12:15:00 pm,0,1.5126,17.119
12/23/2025,12:30:00 pm,0,1.5139,17.143
12/23/2025,12:45:00 pm,0,1.5214,17.115
12/23/2025,01:00:00 pm,0,1.5164,17.068
12/23/2025,01:15:00 pm,0,1.5119,17.051
12/23/2025,01:30:00 pm,0,1.5169,17.054
12/23/2025,01:45:00 pm,0,1.5163,16.983
12/23/2025,02:00:00 pm,0,1.5106,16.976
12/23/2025,02:15:00 pm,0,1.5043,16.996
12/23/2025,02:30:00 pm,0,1.5117,16.985
12/23/2025,02:45:00 pm,0,1.4988,16.973
12/23/2025,03:00:00 pm,0,1.4954,16.937
12/23/2025,03:15:00 pm,0,1.5199,16.942
12/23/2025,03:30:00 pm,0,1.4887,16.918
12/23/2025,03:45:00 pm,0,1.5120,16.910
12/23/2025,04:00:00 pm,0,1.5098,16.891
12/23/2025,04:15:00 pm,0,1.4985,16.839
12/23/2025,04:30:00 pm,0,1.5150,16.783
12/23/2025,04:45:00 pm,0,1.5081,16.774
12/23/2025,05:00:00 pm,0,1.5037,16.765
12/23/2025,05:15:00 pm,0,1.5037,16.752
12/23/2025,05:30:00 pm,0,1.5305,16.717
12/23/2025,05:45:00 pm,0,1.5210,16.689
12/23/2025,06:00:00 pm,0,1.5168,16.683
12/23/2025,06:15:00 pm,0,1.5171,16.683
12/23/2025,06:30:00 pm,0,1.5104,16.684
12/23/2025,06:45:00 pm,0,1.5315,16.683
12/23/2025,07:00:00 pm,0,1.5368,16.703
12/23/2025,07:15:00 pm,0,1.5133,16.680
12/23/2025,07:30:00 pm,0,1.5146,16.656
12/23/2025,07:45:00 pm,0,1.5265,16.633
12/23/2025,08:00:00 pm,0,1.5280,16.615
12/23/2025,08:15:00 pm,0,1.5473,16.599
12/23/2025,08:30:00 pm,0,1.5432,16.564
12/23/2025,08:45:00 pm,0,1.5299,16.538
12/23/2025,09:00:00 pm,0,1.5262,16.511
12/23/2025,09:15:00 pm,0,1.5172,16.498
12/23/2025,09:30:00 pm,0,1.5243,16.480
12/23/2025,09:45:00 pm,0,1.5285,16.473
12/23/2025,10:00:00 pm,0,1.5326,16.473
12/23/2025,10:15:00 pm,0,1.5232,16.473
12/23/2025,10:30:00 pm,0,1.5490,16.457
12/23/2025,10:45:00 pm,0,1.5566,16.443
12/23/2025,11:00:00 pm,0,1.5450,16.456
12/23/2025,11:15:00 pm,0,1.5412,16.430
12/23/2025,11:30:00 pm,0,1.5462,16.431
12/23/2025,11:45:00 pm,0,1.5802,16.386
12/24/2025,12:00:00 am,0,1.6039,16.397
12/24/2025,12:15:00 am,0,1.6192,16.416
12/24/2025,12:30:00 am,0,1.6649,16.399
12/24/2025,12:45:00 am,0,1.6893,16.379
12/24/2025,01:00:00 am,0,1.7008,16.404
12/24/2025,01:15:00 am,0,1.7423,16.423
12/24/2025,01:30:00 am,0,1.7707,16.459
12/24/2025,01:45:00 am,0,1.8014,16.435
12/24/2025,02:00:00 am,0,1.8332,16.455
12/24/2025,02:15:00 am,0,1.8733,16.438
12/24/2025,02:30:00 am,0,1.9378,16.413
12/24/2025,02:45:00 am,0,1.9540,16.367
12/24/2025,03:00:00 am,0,1.9882,16.368
12/24/2025,03:15:00 am,0,1.9682,16.382
12/24/2025,03:30:00 am,0,2.0108,16.400
12/24/2025,03:45:00 am,0,2.0297,16.398
12/24/2025,04:00:00 am,0,2.0677,16.402
12/24/2025,04:15:00 am,0,2.0994,16.409
12/24/2025,04:30:00 am,0,2.1349,16.391
12/24/2025,04:45:00 am,0,2.1561,16.395
12/24/2025,05:00:00 am,0,2.1706,16.393
12/24/2025,05:15:00 am,0,2.1992,16.405
12/24/2025,05:30:00 am,0,2.2241,16.408
12/24/2025,05:45:00 am,0,2.2940,16.441
12/24/2025,06:00:00 am,0,2.4122,16.429
12/24/2025,06:15:00 am,0,2.4524,16.420
12/24/2025,06:30:00 am,0,2.4540,16.435
12/24/2025,06:45:00 am,0,2.4613,16.446
12/24/2025,07:00:00 am,0,2.4500,16.468
12/24/2025,07:15:00 am,0,2.4513,16.464
12/24/2025,07:30:00 am,0,2.4443,16.465
12/24/2025,07:45:00 am,0,2.4415,16.480
12/24/2025,08:00:00 am,0,2.4355,16.443
12/24/2025,08:15:00 am,0,2.4378,16.473
12/24/2025,08:30:00 am,0,2.4392,16.438
12/24/2025,08:45:00 am,0,2.4472,16.450
12/24/2025,09:00:00 am,0,2.4447,16.483
12/24/2025,09:15:00 am,0,2.4531,16.467
12/24/2025,09:30:00 am,0,2.4568,16.455
12/24/2025,09:45:00 am,0,2.4639,16.458
12/24/2025,10:00:00 am,0,2.4698,16.467
12/24/2025,10:15:00 am,0,2.4818,16.472
12/24/2025,10:30:00 am,0,2.4852,16.442
12/24/2025,10:45:00 am,0,2.4952,16.448
12/24/2025,11:00:00 am,0,2.4823,16.457
12/24/2025,11:15:00 am,0,2.4848,16.469
12/24/2025,11:30:00 am,0,2.4566,16.502
12/24/2025,11:45:00 am,0,2.4646,16.483
12/24/2025,12:00:00 pm,0,2.4603,16.418
12/24/2025,12:15:00 pm,0,2.4683,16.419
12/24/2025,12:30:00 pm,0,2.4633,16.428
12/24/2025,12:45:00 pm,0,2.4408,16.436
12/24/2025,01:00:00 pm,0,2.4452,16.457
12/24/2025,01:15:00 pm,0,2.4321,16.474
12/24/2025,01:30:00 pm,0,2.4217,16.509
12/24/2025,01:45:00 pm,0,2.4205,16.490
12/24/2025,02:00:00 pm,0,2.4141,16.505
12/24/2025,02:15:00 pm,0,2.4037,16.533
12/24/2025,02:30:00 pm,0,2.3931,16.524
12/24/2025,02:45:00 pm,0,2.3783,16.503
12/24/2025,03:00:00 pm,0,2.3851,16.534
12/24/2025,03:15:00 pm,0,2.3714,16.527
12/24/2025,03:30:00 pm,0,2.3710,16.519
12/24/2025,03:45:00 pm,0,2.3514,16.521
12/24/2025,04:00:00 pm,0,2.3615,16.533
12/24/2025,04:15:00 pm,0,2.3432,16.518
12/24/2025,04:30:00 pm,0,2.3451,16.486
12/24/2025,04:45:00 pm,0,2.3316,16.505
12/24/2025,05:00:00 pm,0,2.3284,16.488
12/24/2025,05:15:00 pm,0,2.3192,16.468
12/24/2025,05:30:00 pm,0,2.3205,16.469
12/24/2025,05:45:00 pm,0,2.3130,16.460
12/24/2025,06:00:00 pm,0,2.3089,16.407
12/24/2025,06:15:00 pm,0,2.3092,16.369
12/24/2025,06:30:00 pm,0,2.2973,16.425
12/24/2025,06:45:00 pm,0,2.3009,16.421
12/24/2025,07:00:00 pm,0,2.2962,16.396
12/24/2025,07:15:00 pm,0,2.3120,16.394
