Serial_number:
2171471
Project ID:

Location:
Dune Pond
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/20/2023,02:30:00 pm,0,10.4039,28.434
4/20/2023,02:45:00 pm,0,10.3974,29.224
4/20/2023,03:00:00 pm,0,10.3972,30.324
4/20/2023,03:15:00 pm,0,11.7201,17.010
4/20/2023,03:30:00 pm,0,11.6468,16.826
4/20/2023,03:45:00 pm,0,11.6641,16.784
4/20/2023,04:00:00 pm,0,11.6535,16.770
4/20/2023,04:15:00 pm,0,11.6423,16.765
4/20/2023,04:30:00 pm,0,11.6285,16.762
4/20/2023,04:45:00 pm,0,11.6190,16.758
4/20/2023,05:00:00 pm,0,11.6139,16.757
4/20/2023,05:15:00 pm,0,11.6096,16.757
4/20/2023,05:30:00 pm,0,11.6064,16.756
4/20/2023,05:45:00 pm,0,11.6036,16.756
4/20/2023,06:00:00 pm,0,11.6012,16.753
4/20/2023,06:15:00 pm,0,11.5992,16.753
4/20/2023,06:30:00 pm,0,11.5980,16.754
4/20/2023,06:45:00 pm,0,11.5968,16.752
4/20/2023,07:00:00 pm,0,11.5960,16.753
4/20/2023,07:15:00 pm,0,11.5958,16.753
4/20/2023,07:30:00 pm,0,11.5953,16.752
4/20/2023,07:45:00 pm,0,11.5947,16.753
4/20/2023,08:00:00 pm,0,11.5942,16.753
4/20/2023,08:15:00 pm,0,11.5942,16.753
4/20/2023,08:30:00 pm,0,11.5943,16.753
4/20/2023,08:45:00 pm,0,11.5946,16.753
4/20/2023,09:00:00 pm,0,11.5950,16.752
4/20/2023,09:15:00 pm,0,11.5954,16.751
4/20/2023,09:30:00 pm,0,11.5964,16.755
4/20/2023,09:45:00 pm,0,11.5974,16.753
4/20/2023,10:00:00 pm,0,11.5976,16.753
4/20/2023,10:15:00 pm,0,11.5978,16.754
4/20/2023,10:30:00 pm,0,11.5982,16.753
4/20/2023,10:45:00 pm,0,11.5987,16.751
4/20/2023,11:00:00 pm,0,11.5982,16.752
4/20/2023,11:15:00 pm,0,11.5984,16.753
4/20/2023,11:30:00 pm,0,11.5985,16.753
4/20/2023,11:45:00 pm,0,11.5987,16.753
4/21/2023,12:00:00 am,0,11.5988,16.752
4/21/2023,12:15:00 am,0,11.5990,16.752
4/21/2023,12:30:00 am,0,11.5994,16.753
4/21/2023,12:45:00 am,0,11.5990,16.753
4/21/2023,01:00:00 am,0,11.5993,16.752
4/21/2023,01:15:00 am,0,11.5992,16.754
4/21/2023,01:30:00 am,0,11.5987,16.752
4/21/2023,01:45:00 am,0,11.5986,16.752
4/21/2023,02:00:00 am,0,11.5985,16.753
4/21/2023,02:15:00 am,0,11.5978,16.752
4/21/2023,02:30:00 am,0,11.5972,16.755
4/21/2023,02:45:00 am,0,11.5968,16.755
4/21/2023,03:00:00 am,0,11.5960,16.755
4/21/2023,03:15:00 am,0,11.5958,16.753
4/21/2023,03:30:00 am,0,11.5954,16.754
4/21/2023,03:45:00 am,0,11.5948,16.753
4/21/2023,04:00:00 am,0,11.5946,16.755
4/21/2023,04:15:00 am,0,11.5948,16.755
4/21/2023,04:30:00 am,0,11.5954,16.754
4/21/2023,04:45:00 am,0,11.5948,16.753
4/21/2023,05:00:00 am,0,11.5943,16.754
4/21/2023,05:15:00 am,0,11.5936,16.754
4/21/2023,05:30:00 am,0,11.5932,16.753
4/21/2023,05:45:00 am,0,11.5935,16.753
4/21/2023,06:00:00 am,0,11.5938,16.754
4/21/2023,06:15:00 am,0,11.5941,16.754
