Serial_number:
1076501
Project ID:
NCOS Hydrology Monitoring
Location:
East Channel Trail Bridge
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CON_UCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CON_UCTIVITY
9/17/2024,01:15:00 pm,0,0.3122,21.474,30755.8
9/17/2024,01:30:00 pm,0,0.3091,20.652,29787.2
9/17/2024,01:45:00 pm,0,0.3082,20.643,28293.9
9/17/2024,02:00:00 pm,0,0.3132,20.760,27296.0
9/17/2024,02:15:00 pm,0,0.3182,20.922,26474.5
9/17/2024,02:30:00 pm,0,0.3197,21.098,25932.9
9/17/2024,02:45:00 pm,0,0.3207,21.272,25314.2
9/17/2024,03:00:00 pm,0,0.3217,21.444,24917.1
9/17/2024,03:15:00 pm,0,0.3234,21.615,24599.1
9/17/2024,03:30:00 pm,0,0.3252,21.773,24301.4
9/17/2024,03:45:00 pm,0,0.3237,21.907,24005.9
9/17/2024,04:00:00 pm,0,0.3230,22.019,23709.6
9/17/2024,04:15:00 pm,0,0.3228,22.117,23422.3
9/17/2024,04:30:00 pm,0,0.3220,22.201,23157.7
9/17/2024,04:45:00 pm,0,0.3205,22.271,22868.9
9/17/2024,05:00:00 pm,0,0.3207,22.330,22604.3
9/17/2024,05:15:00 pm,0,0.3193,22.378,22337.6
9/17/2024,05:30:00 pm,0,0.3192,22.415,22084.9
9/17/2024,05:45:00 pm,0,0.3183,22.445,21832.4
9/17/2024,06:00:00 pm,0,0.3173,22.468,21599.5
9/17/2024,06:15:00 pm,0,0.3172,22.487,21374.8
9/17/2024,06:30:00 pm,0,0.3161,22.507,21186.6
9/17/2024,06:45:00 pm,0,0.3156,22.520,20971.8
9/17/2024,07:00:00 pm,0,0.3157,22.525,20773.5
9/17/2024,07:15:00 pm,0,0.3153,22.522,20582.2
9/17/2024,07:30:00 pm,0,0.3155,22.520,20405.3
9/17/2024,07:45:00 pm,0,0.3153,22.516,20231.5
9/17/2024,08:00:00 pm,0,0.3152,22.507,20055.0
9/17/2024,08:15:00 pm,0,0.3130,22.491,19881.5
9/17/2024,08:30:00 pm,0,0.3118,22.467,19707.5
9/17/2024,08:45:00 pm,0,0.3110,22.432,19526.3
9/17/2024,09:00:00 pm,0,0.3096,22.394,19364.8
9/17/2024,09:15:00 pm,0,0.3087,22.358,19208.4
9/17/2024,09:30:00 pm,0,0.3083,22.324,19067.3
9/17/2024,09:45:00 pm,0,0.3077,22.293,18929.0
9/17/2024,10:00:00 pm,0,0.3070,22.260,18795.0
9/17/2024,10:15:00 pm,0,0.3068,22.225,18657.4
9/17/2024,10:30:00 pm,0,0.3068,22.179,18529.1
9/17/2024,10:45:00 pm,0,0.3063,22.133,18386.0
9/17/2024,11:00:00 pm,0,0.3056,22.085,18275.1
9/17/2024,11:15:00 pm,0,0.3054,22.042,18140.2
9/17/2024,11:30:00 pm,0,0.3062,22.003,18028.7
9/17/2024,11:45:00 pm,0,0.3060,21.967,17921.8
9/18/2024,12:00:00 am,0,0.3059,21.931,17813.8
9/18/2024,12:15:00 am,0,0.3049,21.884,17697.7
9/18/2024,12:30:00 am,0,0.3055,21.814,17585.4
9/18/2024,12:45:00 am,0,0.3050,21.697,17438.2
9/18/2024,01:00:00 am,0,0.3045,21.623,17304.6
9/18/2024,01:15:00 am,0,0.3039,21.545,17183.2
9/18/2024,01:30:00 am,0,0.3044,21.466,17074.7
9/18/2024,01:45:00 am,0,0.3045,21.387,16950.0
9/18/2024,02:00:00 am,0,0.3041,21.310,16831.4
9/18/2024,02:15:00 am,0,0.3039,21.232,16956.9
9/18/2024,02:30:00 am,0,0.3033,21.155,16836.9
9/18/2024,02:45:00 am,0,0.3024,21.077,16722.7
9/18/2024,03:00:00 am,0,0.3016,21.000,16611.2
9/18/2024,03:15:00 am,0,0.3012,20.923,16499.6
9/18/2024,03:30:00 am,0,0.3012,20.844,16388.9
9/18/2024,03:45:00 am,0,0.3025,20.766,16285.2
9/18/2024,04:00:00 am,0,0.3005,20.689,16181.8
9/18/2024,04:15:00 am,0,0.2997,20.614,16079.8
9/18/2024,04:30:00 am,0,0.2994,20.537,15989.1
9/18/2024,04:45:00 am,0,0.3012,20.462,15894.2
9/18/2024,05:00:00 am,0,0.2995,20.391,15800.4
9/18/2024,05:15:00 am,0,0.2984,20.321,15712.7
9/18/2024,05:30:00 am,0,0.2992,20.250,15630.0
9/18/2024,05:45:00 am,0,0.2951,20.178,15535.0
9/18/2024,06:00:00 am,0,0.2940,20.108,15454.0
9/18/2024,06:15:00 am,0,0.2912,20.040,15371.5
9/18/2024,06:30:00 am,0,0.2901,19.974,15295.2
9/18/2024,06:45:00 am,0,0.2890,19.911,15221.9
9/18/2024,07:00:00 am,0,0.2888,19.843,15144.0
9/18/2024,07:15:00 am,0,0.2864,19.777,15069.6
9/18/2024,07:30:00 am,0,0.2863,19.718,15000.7
9/18/2024,07:45:00 am,0,0.2883,19.630,14912.3
9/18/2024,08:00:00 am,0,0.2866,19.517,14832.0
9/18/2024,08:15:00 am,0,0.2871,19.458,14776.8
9/18/2024,08:30:00 am,0,0.2891,19.408,14721.9
9/18/2024,08:45:00 am,0,0.2875,19.363,14669.6
9/18/2024,09:00:00 am,0,0.2877,19.321,14623.2
9/18/2024,09:15:00 am,0,0.2874,19.288,14585.4
9/18/2024,09:30:00 am,0,0.2897,19.266,14549.4
9/18/2024,09:45:00 am,0,0.2888,19.255,14518.0
9/18/2024,10:00:00 am,0,0.2892,19.253,14496.1
9/18/2024,10:15:00 am,0,0.2906,19.264,14474.8
9/18/2024,10:30:00 am,0,0.2912,19.290,14462.9
9/18/2024,10:45:00 am,0,0.2911,19.329,14463.9
9/18/2024,11:00:00 am,0,0.2910,19.389,14471.7
9/18/2024,11:15:00 am,0,0.2908,19.479,14505.1
9/18/2024,11:30:00 am,0,0.2925,19.577,14521.3
9/18/2024,11:45:00 am,0,0.2940,19.697,14570.5
9/18/2024,12:00:00 pm,0,0.2962,19.869,14648.8
9/18/2024,12:15:00 pm,0,0.2976,20.098,14766.6
9/18/2024,12:30:00 pm,0,0.2998,20.405,14894.5
9/18/2024,12:45:00 pm,0,0.3021,20.678,14974.9
9/18/2024,01:00:00 pm,0,0.3032,20.927,15040.0
9/18/2024,01:15:00 pm,0,0.3035,21.145,15090.9
9/18/2024,01:30:00 pm,0,0.3046,21.383,15153.8
9/18/2024,01:45:00 pm,0,0.3060,21.581,15190.1
9/18/2024,02:00:00 pm,0,0.3043,21.772,15237.5
9/18/2024,02:15:00 pm,0,0.3084,21.965,15271.9
9/18/2024,02:30:00 pm,0,0.3120,22.146,15304.3
9/18/2024,02:45:00 pm,0,0.3139,22.314,15324.7
9/18/2024,03:00:00 pm,0,0.3158,22.473,15348.2
9/18/2024,03:15:00 pm,0,0.3179,22.637,15368.3
9/18/2024,03:30:00 pm,0,0.3211,22.770,15370.6
9/18/2024,03:45:00 pm,0,0.3203,22.884,15371.4
9/18/2024,04:00:00 pm,0,0.3196,22.984,15366.6
9/18/2024,04:15:00 pm,0,0.3201,23.073,15352.4
9/18/2024,04:30:00 pm,0,0.3198,23.144,15335.6
9/18/2024,04:45:00 pm,0,0.3198,23.198,15309.4
9/18/2024,05:00:00 pm,0,0.3212,23.237,15286.1
9/18/2024,05:15:00 pm,0,0.3198,23.276,15265.8
9/18/2024,05:30:00 pm,0,0.3206,23.306,15232.1
9/18/2024,05:45:00 pm,0,0.3201,23.318,15190.8
9/18/2024,06:00:00 pm,0,0.3196,23.320,15159.3
9/18/2024,06:15:00 pm,0,0.3191,23.315,15109.7
9/18/2024,06:30:00 pm,0,0.3179,23.303,15067.2
9/18/2024,06:45:00 pm,0,0.3174,23.281,15023.6
9/18/2024,07:00:00 pm,0,0.3161,23.250,14974.6
9/18/2024,07:15:00 pm,0,0.3148,23.216,14932.1
9/18/2024,07:30:00 pm,0,0.3133,23.175,14884.0
9/18/2024,07:45:00 pm,0,0.3107,23.129,14836.2
9/18/2024,08:00:00 pm,0,0.3090,23.080,14788.4
9/18/2024,08:15:00 pm,0,0.3065,23.023,14736.1
9/18/2024,08:30:00 pm,0,0.3046,22.963,14687.2
9/18/2024,08:45:00 pm,0,0.3026,22.904,14643.9
9/18/2024,09:00:00 pm,0,0.3006,22.848,14606.4
9/18/2024,09:15:00 pm,0,0.3000,22.798,14572.6
9/18/2024,09:30:00 pm,0,0.2994,22.752,14536.3
9/18/2024,09:45:00 pm,0,0.2982,22.694,14489.8
9/18/2024,10:00:00 pm,0,0.2991,22.625,14445.2
9/18/2024,10:15:00 pm,0,0.2979,22.555,14393.5
9/18/2024,10:30:00 pm,0,0.2955,22.486,14354.0
9/18/2024,10:45:00 pm,0,0.2940,22.424,14319.4
9/18/2024,11:00:00 pm,0,0.2925,22.370,14289.1
9/18/2024,11:15:00 pm,0,0.2905,22.323,14262.9
9/18/2024,11:30:00 pm,0,0.2894,22.278,14231.4
9/18/2024,11:45:00 pm,0,0.2877,22.242,14210.0
9/19/2024,12:00:00 am,0,0.2874,22.205,14186.7
9/19/2024,12:15:00 am,0,0.2865,22.160,14152.2
9/19/2024,12:30:00 am,0,0.2862,22.112,14122.8
9/19/2024,12:45:00 am,0,0.2853,22.063,14094.7
9/19/2024,01:00:00 am,0,0.2848,22.017,14069.9
9/19/2024,01:15:00 am,0,0.2869,21.972,14040.1
9/19/2024,01:30:00 am,0,0.2858,21.920,14010.0
9/19/2024,01:45:00 am,0,0.2857,21.861,13968.8
9/19/2024,02:00:00 am,0,0.2852,21.796,13933.7
9/19/2024,02:15:00 am,0,0.2842,21.728,13892.5
9/19/2024,02:30:00 am,0,0.2843,21.660,13855.4
9/19/2024,02:45:00 am,0,0.2857,21.593,13818.0
9/19/2024,03:00:00 am,0,0.2859,21.526,13784.7
9/19/2024,03:15:00 am,0,0.2861,21.459,13751.2
9/19/2024,03:30:00 am,0,0.2860,21.396,13722.3
9/19/2024,03:45:00 am,0,0.2858,21.335,13686.5
9/19/2024,04:00:00 am,0,0.2849,21.275,13662.5
9/19/2024,04:15:00 am,0,0.2844,21.216,13632.8
9/19/2024,04:30:00 am,0,0.2843,21.156,13604.6
9/19/2024,04:45:00 am,0,0.2847,21.097,13570.2
9/19/2024,05:00:00 am,0,0.2868,21.038,13547.4
9/19/2024,05:15:00 am,0,0.2877,20.983,13524.4
9/19/2024,05:30:00 am,0,0.2879,20.930,13497.6
9/19/2024,05:45:00 am,0,0.2890,20.882,13478.5
9/19/2024,06:00:00 am,0,0.2898,20.836,13454.8
9/19/2024,06:15:00 am,0,0.2903,20.793,13433.3
9/19/2024,06:30:00 am,0,0.2908,20.750,13406.1
9/19/2024,06:45:00 am,0,0.2902,20.707,13385.6
9/19/2024,07:00:00 am,0,0.2904,20.652,13356.1
9/19/2024,07:15:00 am,0,0.2906,20.579,13321.2
9/19/2024,07:30:00 am,0,0.2915,20.516,13289.2
9/19/2024,07:45:00 am,0,0.2907,20.462,13264.6
9/19/2024,08:00:00 am,0,0.2894,20.421,13248.5
9/19/2024,08:15:00 am,0,0.2888,20.385,13230.8
9/19/2024,08:30:00 am,0,0.2892,20.354,13212.6
9/19/2024,08:45:00 am,0,0.2888,20.328,13196.7
9/19/2024,09:00:00 am,0,0.2875,20.305,13188.0
9/19/2024,09:15:00 am,0,0.2877,20.291,13178.3
9/19/2024,09:30:00 am,0,0.2894,20.289,13174.4
9/19/2024,09:45:00 am,0,0.2889,20.291,13170.2
9/19/2024,10:00:00 am,0,0.2912,20.295,13170.6
9/19/2024,10:15:00 am,0,0.2924,20.312,13170.7
9/19/2024,10:30:00 am,0,0.2929,20.357,13194.8
9/19/2024,10:45:00 am,0,0.2927,20.424,13229.5
9/19/2024,11:00:00 am,0,0.2926,20.482,13237.2
9/19/2024,11:15:00 am,0,0.2935,20.529,13247.8
9/19/2024,11:30:00 am,0,0.2959,20.578,13264.8
9/19/2024,11:45:00 am,0,0.2956,20.651,13294.5
9/19/2024,12:00:00 pm,0,0.2959,20.741,13327.2
9/19/2024,12:15:00 pm,0,0.2974,20.837,13365.7
9/19/2024,12:30:00 pm,0,0.2972,20.955,13415.4
9/19/2024,12:45:00 pm,0,0.2984,21.083,13456.8
9/19/2024,01:00:00 pm,0,0.2986,21.228,13514.7
9/19/2024,01:15:00 pm,0,0.2993,21.372,13557.9
9/19/2024,01:30:00 pm,0,0.2985,21.504,13591.5
9/19/2024,01:45:00 pm,0,0.2997,21.635,13630.6
9/19/2024,02:00:00 pm,0,0.3005,21.778,13677.3
9/19/2024,02:15:00 pm,0,0.3011,21.980,13770.3
9/19/2024,02:30:00 pm,0,0.3037,22.242,13871.9
9/19/2024,02:45:00 pm,0,0.3056,22.508,13952.8
9/19/2024,03:00:00 pm,0,0.3065,22.745,14014.4
9/19/2024,03:15:00 pm,0,0.3062,22.952,14059.6
9/19/2024,03:30:00 pm,0,0.3089,23.117,14078.7
9/19/2024,03:45:00 pm,0,0.3097,23.227,14074.2
9/19/2024,04:00:00 pm,0,0.3106,23.306,14065.1
9/19/2024,04:15:00 pm,0,0.3110,23.367,14056.3
9/19/2024,04:30:00 pm,0,0.3106,23.414,14041.5
9/19/2024,04:45:00 pm,0,0.3112,23.448,14023.4
9/19/2024,05:00:00 pm,0,0.3096,23.469,14004.5
9/19/2024,05:15:00 pm,0,0.3094,23.479,13974.7
9/19/2024,05:30:00 pm,0,0.3079,23.474,13942.0
9/19/2024,05:45:00 pm,0,0.3073,23.456,13906.5
9/19/2024,06:00:00 pm,0,0.3055,23.428,13872.1
9/19/2024,06:15:00 pm,0,0.3040,23.399,13838.0
9/19/2024,06:30:00 pm,0,0.3032,23.363,13797.9
9/19/2024,06:45:00 pm,0,0.2998,23.315,13754.1
9/19/2024,07:00:00 pm,0,0.2975,23.263,13717.8
9/19/2024,07:15:00 pm,0,0.2961,23.216,13691.0
9/19/2024,07:30:00 pm,0,0.2946,23.171,13653.7
9/19/2024,07:45:00 pm,0,0.2930,23.126,13619.0
9/19/2024,08:00:00 pm,0,0.2912,23.085,13594.0
9/19/2024,08:15:00 pm,0,0.2909,23.046,13559.9
9/19/2024,08:30:00 pm,0,0.2918,23.005,13529.9
9/19/2024,08:45:00 pm,0,0.2916,22.963,13498.4
9/19/2024,09:00:00 pm,0,0.2916,22.921,13468.2
9/19/2024,09:15:00 pm,0,0.2918,22.878,13436.9
9/19/2024,09:30:00 pm,0,0.2914,22.830,13397.9
9/19/2024,09:45:00 pm,0,0.2914,22.777,13369.2
9/19/2024,10:00:00 pm,0,0.2908,22.721,13326.3
9/19/2024,10:15:00 pm,0,0.2906,22.662,13291.1
9/19/2024,10:30:00 pm,0,0.2908,22.607,13258.4
9/19/2024,10:45:00 pm,0,0.2903,22.552,13227.5
9/19/2024,11:00:00 pm,0,0.2904,22.505,13207.9
9/19/2024,11:15:00 pm,0,0.2921,22.459,13171.3
9/19/2024,11:30:00 pm,0,0.2913,22.402,13126.1
9/19/2024,11:45:00 pm,0,0.2908,22.331,13084.2
9/20/2024,12:00:00 am,0,0.2905,22.254,13044.5
9/20/2024,12:15:00 am,0,0.2907,22.181,13008.1
9/20/2024,12:30:00 am,0,0.2933,22.114,12970.7
9/20/2024,12:45:00 am,0,0.2928,22.041,12933.2
9/20/2024,01:00:00 am,0,0.2919,21.968,12897.3
9/20/2024,01:15:00 am,0,0.2915,21.897,12861.4
9/20/2024,01:30:00 am,0,0.2915,21.833,12830.6
9/20/2024,01:45:00 am,0,0.2900,21.741,12783.5
9/20/2024,02:00:00 am,0,0.2894,21.650,12735.4
9/20/2024,02:15:00 am,0,0.2896,21.572,12710.5
9/20/2024,02:30:00 am,0,0.2892,21.502,12673.9
9/20/2024,02:45:00 am,0,0.2893,21.428,12642.4
9/20/2024,03:00:00 am,0,0.2891,21.350,12597.6
9/20/2024,03:15:00 am,0,0.2899,21.271,12562.1
9/20/2024,03:30:00 am,0,0.2901,21.202,12534.0
9/20/2024,03:45:00 am,0,0.2903,21.136,12500.0
9/20/2024,04:00:00 am,0,0.2908,21.072,12475.9
9/20/2024,04:15:00 am,0,0.2920,21.008,12445.4
9/20/2024,04:30:00 am,0,0.2926,20.944,12413.1
9/20/2024,04:45:00 am,0,0.2919,20.883,12384.5
9/20/2024,05:00:00 am,0,0.2932,20.816,12347.7
9/20/2024,05:15:00 am,0,0.2937,20.747,12317.1
9/20/2024,05:30:00 am,0,0.2928,20.676,12284.5
9/20/2024,05:45:00 am,0,0.2910,20.602,12248.0
9/20/2024,06:00:00 am,0,0.2907,20.529,12217.5
9/20/2024,06:15:00 am,0,0.2911,20.468,12194.0
9/20/2024,06:30:00 am,0,0.2906,20.412,12168.0
9/20/2024,06:45:00 am,0,0.2907,20.350,12138.4
9/20/2024,07:00:00 am,0,0.2899,20.284,12107.5
9/20/2024,07:15:00 am,0,0.2906,20.221,12082.1
9/20/2024,07:30:00 am,0,0.2901,20.162,12054.3
9/20/2024,07:45:00 am,0,0.2906,20.108,12029.8
9/20/2024,08:00:00 am,0,0.2894,20.058,12005.4
9/20/2024,08:15:00 am,0,0.2894,20.011,11986.3
9/20/2024,08:30:00 am,0,0.2902,19.970,11970.2
9/20/2024,08:45:00 am,0,0.2906,19.939,11958.6
9/20/2024,09:00:00 am,0,0.2911,19.912,11948.8
9/20/2024,09:15:00 am,0,0.2912,19.893,11940.1
9/20/2024,09:30:00 am,0,0.2911,19.879,11935.4
9/20/2024,09:45:00 am,0,0.2901,19.871,11929.2
9/20/2024,10:00:00 am,0,0.2910,19.874,11928.8
9/20/2024,10:15:00 am,0,0.2914,19.882,11928.7
9/20/2024,10:30:00 am,0,0.2905,19.893,11930.7
9/20/2024,10:45:00 am,0,0.2891,19.920,11945.1
9/20/2024,11:00:00 am,0,0.2907,19.967,11963.6
9/20/2024,11:15:00 am,0,0.2904,20.018,11981.1
9/20/2024,11:30:00 am,0,0.2920,20.068,11995.2
9/20/2024,11:45:00 am,0,0.2890,20.121,12010.5
9/20/2024,12:00:00 pm,0,0.2903,20.170,12022.6
