Serial_number:
1092253
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
5/20/2025,01:09:49 pm,0,0.4911,23.022,21037.8
5/20/2025,01:24:49 pm,0,0.4930,23.097,21119.1
5/20/2025,01:39:49 pm,0,0.4947,23.366,21496.2
5/20/2025,01:54:49 pm,0,0.4935,23.983,22271.7
5/20/2025,02:09:49 pm,0,0.4925,24.424,22731.3
5/20/2025,02:24:49 pm,0,0.4930,24.634,23001.8
5/20/2025,02:39:49 pm,0,0.4935,24.846,23149.9
5/20/2025,02:54:49 pm,0,0.4959,24.844,23240.7
5/20/2025,03:09:49 pm,0,0.4973,24.838,23299.6
5/20/2025,03:24:49 pm,0,0.4983,24.955,23437.3
5/20/2025,03:39:49 pm,0,0.4985,25.277,23647.5
5/20/2025,03:54:49 pm,0,0.4987,25.475,23895.9
5/20/2025,04:09:49 pm,0,0.4964,25.480,23953.6
5/20/2025,04:24:49 pm,0,0.5013,25.357,23877.1
5/20/2025,04:39:49 pm,0,0.5023,25.301,23834.4
5/20/2025,04:54:49 pm,0,0.5014,25.294,23791.5
5/20/2025,05:09:49 pm,0,0.5008,25.333,23883.3
5/20/2025,05:24:49 pm,0,0.5001,25.323,23848.6
5/20/2025,05:39:49 pm,0,0.5019,25.270,23757.3
5/20/2025,05:54:49 pm,0,0.5006,25.162,23635.6
5/20/2025,06:09:49 pm,0,0.5012,25.017,23438.2
5/20/2025,06:24:49 pm,0,0.5048,24.891,23267.9
5/20/2025,06:39:49 pm,0,0.5047,24.773,23105.1
5/20/2025,06:54:49 pm,0,0.5056,24.697,23004.0
5/20/2025,07:09:49 pm,0,0.5038,24.648,22934.4
5/20/2025,07:24:49 pm,0,0.5062,24.600,22876.4
5/20/2025,07:39:49 pm,0,0.5051,24.568,22818.8
5/20/2025,07:54:49 pm,0,0.5057,24.557,22793.4
5/20/2025,08:09:49 pm,0,0.5075,24.545,22776.2
5/20/2025,08:24:49 pm,0,0.5069,24.533,22747.9
5/20/2025,08:39:49 pm,0,0.5060,24.544,22753.4
5/20/2025,08:54:49 pm,0,0.5064,24.582,22782.4
5/20/2025,09:09:49 pm,0,0.5037,24.613,22801.6
5/20/2025,09:24:49 pm,0,0.5064,24.612,22803.0
5/20/2025,09:39:49 pm,0,0.5063,24.593,22783.9
5/20/2025,09:54:49 pm,0,0.5059,24.594,22788.3
5/20/2025,10:09:49 pm,0,0.5059,24.631,22809.6
5/20/2025,10:24:49 pm,0,0.5065,24.650,22853.2
5/20/2025,10:39:49 pm,0,0.5057,24.648,22816.8
5/20/2025,10:54:49 pm,0,0.5052,24.645,22814.0
5/20/2025,11:09:49 pm,0,0.5039,24.663,22837.6
5/20/2025,11:24:49 pm,0,0.5049,24.701,22873.0
5/20/2025,11:39:49 pm,0,0.5044,24.725,22918.9
5/20/2025,11:54:49 pm,0,0.5023,24.742,22926.7
5/21/2025,12:09:49 am,0,0.5056,24.752,22916.7
5/21/2025,12:24:49 am,0,0.5037,24.753,22908.1
5/21/2025,12:39:49 am,0,0.5067,24.747,22900.2
5/21/2025,12:54:49 am,0,0.5037,24.737,22883.8
5/21/2025,01:09:49 am,0,0.5041,24.722,22840.2
5/21/2025,01:24:49 am,0,0.5053,24.705,22802.5
5/21/2025,01:39:49 am,0,0.5057,24.681,22770.3
5/21/2025,01:54:49 am,0,0.5047,24.650,22709.3
5/21/2025,02:09:49 am,0,0.5050,24.618,22660.1
5/21/2025,02:24:49 am,0,0.5061,24.581,22609.3
5/21/2025,02:39:49 am,0,0.5053,24.549,22557.0
5/21/2025,02:54:49 am,0,0.5055,24.509,22512.5
5/21/2025,03:09:49 am,0,0.5060,24.487,22474.4
5/21/2025,03:24:49 am,0,0.5055,24.455,22409.7
5/21/2025,03:39:49 am,0,0.5081,24.423,22351.8
5/21/2025,03:54:49 am,0,0.5079,24.381,22304.1
5/21/2025,04:09:49 am,0,0.5069,24.352,22247.6
5/21/2025,04:24:49 am,0,0.5064,24.312,22234.5
5/21/2025,04:39:49 am,0,0.5069,24.279,22205.7
5/21/2025,04:54:49 am,0,0.5070,24.257,22389.4
5/21/2025,05:09:49 am,0,0.5087,24.236,22188.7
5/21/2025,05:24:49 am,0,0.5073,24.186,22151.7
5/21/2025,05:39:49 am,0,0.5074,24.131,22082.0
5/21/2025,05:54:49 am,0,0.5089,24.028,21984.9
5/21/2025,06:09:49 am,0,0.5095,23.958,21914.0
5/21/2025,06:24:49 am,0,0.5112,23.824,21760.2
5/21/2025,06:39:49 am,0,0.5115,23.654,21739.3
5/21/2025,06:54:49 am,0,0.5104,23.532,21618.8
5/21/2025,07:09:49 am,0,0.5109,23.450,21578.2
5/21/2025,07:24:49 am,0,0.5126,23.458,21532.5
5/21/2025,07:39:49 am,0,0.5132,23.426,21480.6
5/21/2025,07:54:49 am,0,0.5120,23.313,21379.0
5/21/2025,08:09:49 am,0,0.5129,23.196,21261.8
5/21/2025,08:24:49 am,0,0.5144,23.082,21147.8
5/21/2025,08:39:49 am,0,0.5136,22.990,21052.2
5/21/2025,08:54:49 am,0,0.5141,22.924,20987.2
5/21/2025,09:09:49 am,0,0.5139,22.904,20958.6
5/21/2025,09:24:49 am,0,0.5135,22.890,20943.8
5/21/2025,09:39:49 am,0,0.5147,22.900,20939.7
5/21/2025,09:54:49 am,0,0.5137,22.940,20966.6
5/21/2025,10:09:49 am,0,0.5130,23.017,21020.6
5/21/2025,10:24:49 am,0,0.5107,23.075,21076.5
5/21/2025,10:39:49 am,0,0.5114,23.126,21114.8
5/21/2025,10:54:49 am,0,0.5108,23.176,21162.0
5/21/2025,11:09:49 am,0,0.5091,23.374,21402.5
5/21/2025,11:24:49 am,0,0.5075,23.670,21727.7
5/21/2025,11:39:49 am,0,0.5043,23.898,21968.4
5/21/2025,11:54:49 am,0,0.5037,24.092,22184.1
5/21/2025,12:09:49 pm,0,0.5016,24.259,22419.9
5/21/2025,12:24:49 pm,0,0.5010,24.408,22528.1
5/21/2025,12:39:49 pm,0,0.5002,24.588,22732.5
5/21/2025,12:54:49 pm,0,0.4960,24.767,22949.4
5/21/2025,01:09:49 pm,0,0.4966,24.891,23088.6
5/21/2025,01:24:49 pm,0,0.4931,25.029,23263.8
5/21/2025,01:39:49 pm,0,0.4934,25.242,23497.6
5/21/2025,01:54:49 pm,0,0.4908,25.470,23760.4
5/21/2025,02:09:49 pm,0,0.4903,25.655,23983.4
5/21/2025,02:24:49 pm,0,0.4887,25.790,24143.7
5/21/2025,02:39:49 pm,0,0.4856,25.901,24269.3
5/21/2025,02:54:49 pm,0,0.4852,26.006,24392.5
5/21/2025,03:09:49 pm,0,0.4834,26.192,24605.1
5/21/2025,03:24:49 pm,0,0.4823,26.347,24790.3
5/21/2025,03:39:49 pm,0,0.4821,26.466,24934.9
5/21/2025,03:54:49 pm,0,0.4787,26.511,24991.8
5/21/2025,04:09:49 pm,0,0.4780,26.591,25090.9
5/21/2025,04:24:49 pm,0,0.4783,26.691,25209.0
5/21/2025,04:39:49 pm,0,0.4776,26.752,25279.0
5/21/2025,04:54:49 pm,0,0.4774,26.803,25342.1
5/21/2025,05:09:49 pm,0,0.4767,26.853,25402.3
5/21/2025,05:24:49 pm,0,0.4765,26.889,25443.5
5/21/2025,05:39:49 pm,0,0.4764,26.920,25482.0
5/21/2025,05:54:49 pm,0,0.4761,26.927,25482.3
5/21/2025,06:09:49 pm,0,0.4758,26.905,25517.7
5/21/2025,06:24:49 pm,0,0.4778,26.868,25501.5
5/21/2025,06:39:49 pm,0,0.4747,26.827,25359.1
5/21/2025,06:54:49 pm,0,0.4773,26.772,25298.9
5/21/2025,07:09:49 pm,0,0.4773,26.705,25220.0
5/21/2025,07:24:49 pm,0,0.4777,26.640,25139.1
5/21/2025,07:39:49 pm,0,0.4773,26.567,25053.5
5/21/2025,07:54:49 pm,0,0.4763,26.491,24951.8
5/21/2025,08:09:49 pm,0,0.4805,26.420,24858.9
5/21/2025,08:24:49 pm,0,0.4788,26.344,24777.7
5/21/2025,08:39:49 pm,0,0.4803,26.266,24681.8
5/21/2025,08:54:49 pm,0,0.4789,26.187,24587.1
5/21/2025,09:09:49 pm,0,0.4830,26.109,24498.8
5/21/2025,09:24:49 pm,0,0.4819,26.031,24412.2
5/21/2025,09:39:49 pm,0,0.4823,25.960,24336.6
5/21/2025,09:54:49 pm,0,0.4843,25.896,24264.1
5/21/2025,10:09:49 pm,0,0.4842,25.842,24195.9
5/21/2025,10:24:49 pm,0,0.4827,25.783,24124.2
5/21/2025,10:39:49 pm,0,0.4828,25.724,24052.4
5/21/2025,10:54:49 pm,0,0.4828,25.681,23991.1
5/21/2025,11:09:49 pm,0,0.4827,25.637,23932.5
5/21/2025,11:24:49 pm,0,0.4849,25.587,23878.7
5/21/2025,11:39:49 pm,0,0.4845,25.533,23805.8
5/21/2025,11:54:49 pm,0,0.4838,25.487,23772.9
5/22/2025,12:09:49 am,0,0.4842,25.396,23672.6
5/22/2025,12:24:49 am,0,0.4844,25.321,23590.7
