Serial_number:
1092253
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
10/10/2023,11:39:49 am,0,10.1655,21.770,900.5
10/10/2023,11:54:49 am,0,10.6611,22.159,28491.7
10/10/2023,12:09:49 pm,0,10.6618,22.371,28436.3
10/10/2023,12:24:49 pm,0,10.6614,22.595,28542.9
10/10/2023,12:39:49 pm,0,10.6599,22.830,28660.1
10/10/2023,12:54:49 pm,0,10.6575,23.039,28765.1
10/10/2023,01:09:49 pm,0,10.6543,23.253,28837.8
10/10/2023,01:24:49 pm,0,10.6479,23.391,28933.4
10/10/2023,01:39:49 pm,0,10.6448,23.544,29009.9
10/10/2023,01:54:49 pm,0,10.6408,23.617,29127.2
10/10/2023,02:09:49 pm,0,10.6363,23.695,29204.0
10/10/2023,02:24:49 pm,0,10.6355,23.729,29222.6
10/10/2023,02:39:49 pm,0,10.6336,23.757,29290.2
10/10/2023,02:54:49 pm,0,10.6324,23.811,29299.9
10/10/2023,03:09:49 pm,0,10.6311,23.816,29327.6
10/10/2023,03:24:49 pm,0,10.6295,23.809,29374.4
10/10/2023,03:39:49 pm,0,10.6292,23.792,29355.1
10/10/2023,03:54:49 pm,0,10.6278,23.722,29328.4
10/10/2023,04:09:49 pm,0,10.6256,23.564,29302.3
10/10/2023,04:24:49 pm,0,10.6209,23.346,29262.2
10/10/2023,04:39:49 pm,0,10.6189,23.132,29170.4
10/10/2023,04:54:49 pm,0,10.6208,22.991,29056.8
10/10/2023,05:09:49 pm,0,10.6197,22.937,29033.2
10/10/2023,05:24:49 pm,0,10.6200,23.018,29030.3
10/10/2023,05:39:49 pm,0,10.6216,23.150,29067.4
10/10/2023,05:54:49 pm,0,10.6212,23.290,29148.9
10/10/2023,06:09:49 pm,0,10.6221,23.480,29218.2
10/10/2023,06:24:49 pm,0,10.6224,23.587,29285.7
10/10/2023,06:39:49 pm,0,10.6240,23.678,29344.9
10/10/2023,06:54:49 pm,0,10.6239,23.784,29389.5
10/10/2023,07:09:49 pm,0,10.6249,23.873,29445.5
10/10/2023,07:24:49 pm,0,10.6254,23.950,29525.1
10/10/2023,07:39:49 pm,0,10.6264,24.054,29636.8
10/10/2023,07:54:49 pm,0,10.6273,24.132,29674.0
10/10/2023,08:09:49 pm,0,10.6285,24.130,29860.7
10/10/2023,08:24:49 pm,0,10.6296,24.063,29890.4
10/10/2023,08:39:49 pm,0,10.6284,23.960,30073.1
10/10/2023,08:54:49 pm,0,10.6287,23.727,29992.7
10/10/2023,09:09:49 pm,0,10.6289,23.525,29849.6
10/10/2023,09:24:49 pm,0,10.6248,23.303,29884.1
10/10/2023,09:39:49 pm,0,10.6233,23.044,29839.7
10/10/2023,09:54:49 pm,0,10.6202,22.827,29743.6
10/10/2023,10:09:49 pm,0,10.6201,22.692,29522.4
10/10/2023,10:24:49 pm,0,10.6193,22.590,29440.2
10/10/2023,10:39:49 pm,0,10.6230,22.453,29430.4
10/10/2023,10:54:49 pm,0,10.6260,22.345,29326.8
10/10/2023,11:09:49 pm,0,10.6285,22.241,29772.8
10/10/2023,11:24:49 pm,0,10.6285,22.065,29517.8
10/10/2023,11:39:49 pm,0,10.6286,21.940,29277.7
10/10/2023,11:54:49 pm,0,10.6283,21.904,29076.9
10/11/2023,12:09:49 am,0,10.6268,21.916,29052.6
10/11/2023,12:24:49 am,0,10.6256,21.918,29057.7
10/11/2023,12:39:49 am,0,10.6231,21.895,28945.8
10/11/2023,12:54:49 am,0,10.6238,21.872,28878.1
10/11/2023,01:09:49 am,0,10.6220,21.839,28850.6
10/11/2023,01:24:49 am,0,10.6226,21.799,28783.4
10/11/2023,01:39:49 am,0,10.6231,21.745,28709.6
10/11/2023,01:54:49 am,0,10.6223,21.687,28594.2
10/11/2023,02:09:49 am,0,10.6206,21.638,28621.3
10/11/2023,02:24:49 am,0,10.6206,21.592,28572.0
10/11/2023,02:39:49 am,0,10.6190,21.543,28609.3
10/11/2023,02:54:49 am,0,10.6210,21.494,28537.6
10/11/2023,03:09:49 am,0,10.6195,21.431,28583.9
10/11/2023,03:24:49 am,0,10.6186,21.365,28526.7
10/11/2023,03:39:49 am,0,10.6173,21.309,28494.1
10/11/2023,03:54:49 am,0,10.6163,21.237,28458.0
10/11/2023,04:09:49 am,0,10.6163,21.167,28406.8
10/11/2023,04:24:49 am,0,10.6173,21.090,28395.6
10/11/2023,04:39:49 am,0,10.6169,21.011,28369.7
10/11/2023,04:54:49 am,0,10.6177,20.939,28328.2
10/11/2023,05:09:49 am,0,10.6187,20.882,28272.5
10/11/2023,05:24:49 am,0,10.6203,20.840,28284.3
10/11/2023,05:39:49 am,0,10.6202,20.788,28254.5
10/11/2023,05:54:49 am,0,10.6211,20.718,28231.4
10/11/2023,06:09:49 am,0,10.6243,20.655,28188.5
10/11/2023,06:24:49 am,0,10.6264,20.604,28184.0
10/11/2023,06:39:49 am,0,10.6266,20.556,28160.9
10/11/2023,06:54:49 am,0,10.6272,20.509,28175.1
10/11/2023,07:09:49 am,0,10.6285,20.478,28156.8
10/11/2023,07:24:49 am,0,10.6297,20.487,28169.1
10/11/2023,07:39:49 am,0,10.6295,20.472,28177.3
10/11/2023,07:54:49 am,0,10.6292,20.423,28164.7
10/11/2023,08:09:49 am,0,10.6288,20.371,28143.7
10/11/2023,08:24:49 am,0,10.6280,20.312,28254.5
10/11/2023,08:39:49 am,0,10.6320,20.276,28672.0
10/11/2023,08:54:49 am,0,10.6349,20.240,28693.0
10/11/2023,09:09:49 am,0,10.6348,20.197,28640.8
10/11/2023,09:24:49 am,0,10.6367,20.160,28615.0
10/11/2023,09:39:49 am,0,10.6362,20.135,28511.2
10/11/2023,09:54:49 am,0,10.6384,20.146,28469.5
10/11/2023,10:09:49 am,0,10.6374,20.167,28421.7
