Serial_number:
2043105
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/20/2025,01:00:49 pm,0,0.741,23.30
5/20/2025,01:15:49 pm,0,0.744,23.40
5/20/2025,01:30:49 pm,0,0.746,23.50
5/20/2025,01:45:49 pm,0,0.747,23.60
5/20/2025,02:00:49 pm,0,0.749,23.70
5/20/2025,02:15:49 pm,0,0.750,23.80
5/20/2025,02:30:49 pm,0,0.750,23.80
5/20/2025,02:45:49 pm,0,0.752,23.90
5/20/2025,03:00:49 pm,0,0.753,23.90
5/20/2025,03:15:49 pm,0,0.756,24.00
5/20/2025,03:30:49 pm,0,0.758,24.00
5/20/2025,03:45:49 pm,0,0.761,24.10
5/20/2025,04:00:49 pm,0,0.761,24.10
5/20/2025,04:15:49 pm,0,0.762,24.20
5/20/2025,04:30:49 pm,0,0.760,24.30
5/20/2025,04:45:49 pm,0,0.761,24.40
5/20/2025,05:00:49 pm,0,0.763,24.40
5/20/2025,05:15:49 pm,0,0.761,24.30
5/20/2025,05:30:49 pm,0,0.765,24.40
5/20/2025,05:45:49 pm,0,0.766,24.40
5/20/2025,06:00:49 pm,0,0.767,24.40
5/20/2025,06:15:49 pm,0,0.767,24.60
5/20/2025,06:30:49 pm,0,0.768,24.60
5/20/2025,06:45:49 pm,0,0.766,24.60
5/20/2025,07:00:49 pm,0,0.765,24.60
5/20/2025,07:15:49 pm,0,0.769,24.80
5/20/2025,07:30:49 pm,0,0.769,24.70
5/20/2025,07:45:49 pm,0,0.769,24.60
5/20/2025,08:00:49 pm,0,0.770,24.50
5/20/2025,08:15:49 pm,0,0.769,24.50
5/20/2025,08:30:49 pm,0,0.769,24.50
5/20/2025,08:45:49 pm,0,0.769,24.50
5/20/2025,09:00:49 pm,0,0.766,24.40
5/20/2025,09:15:49 pm,0,0.767,24.40
5/20/2025,09:30:49 pm,0,0.769,24.40
5/20/2025,09:45:49 pm,0,0.769,24.40
5/20/2025,10:00:49 pm,0,0.765,24.30
5/20/2025,10:15:49 pm,0,0.763,24.30
5/20/2025,10:30:49 pm,0,0.766,24.30
5/20/2025,10:45:49 pm,0,0.765,24.20
5/20/2025,11:00:49 pm,0,0.763,24.20
5/20/2025,11:15:49 pm,0,0.765,24.10
5/20/2025,11:30:49 pm,0,0.765,24.10
5/20/2025,11:45:49 pm,0,0.767,24.10
5/21/2025,12:00:49 am,0,0.769,24.00
5/21/2025,12:15:49 am,0,0.766,23.90
5/21/2025,12:30:49 am,0,0.766,23.80
