Serial_number:
2043105
Project ID:

Location:
Venoco Bridge
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/29/2025,02:00:00 pm,0,11.178,26.30
8/29/2025,02:15:00 pm,0,11.129,24.40
8/29/2025,02:30:00 pm,0,11.111,23.90
8/29/2025,02:45:00 pm,0,11.105,23.80
8/29/2025,03:00:00 pm,0,11.099,23.60
8/29/2025,03:15:00 pm,0,11.096,23.60
8/29/2025,03:30:00 pm,0,11.097,23.70
8/29/2025,03:45:00 pm,0,11.099,23.80
8/29/2025,04:00:00 pm,0,11.102,23.90
8/29/2025,04:15:00 pm,0,11.106,24.00
8/29/2025,04:30:00 pm,0,11.162,27.30
8/29/2025,04:45:00 pm,0,11.111,27.80
8/29/2025,05:00:00 pm,0,11.090,27.70
8/29/2025,05:15:00 pm,0,11.072,27.80
8/29/2025,05:30:00 pm,0,11.070,27.00
8/29/2025,05:45:00 pm,0,11.081,26.20
8/29/2025,06:00:00 pm,0,11.088,25.70
8/29/2025,06:15:00 pm,0,11.093,25.40
8/29/2025,06:30:00 pm,0,11.102,25.30
8/29/2025,06:45:00 pm,0,11.111,25.30
8/29/2025,07:00:00 pm,0,11.121,25.50
8/29/2025,07:15:00 pm,0,11.114,25.40
8/29/2025,07:30:00 pm,0,11.109,25.50
8/29/2025,07:45:00 pm,0,11.100,25.40
8/29/2025,08:00:00 pm,0,11.091,25.40
8/29/2025,08:15:00 pm,0,11.078,25.40
8/29/2025,08:30:00 pm,0,11.066,25.50
8/29/2025,08:45:00 pm,0,11.049,25.40
8/29/2025,09:00:00 pm,0,11.036,25.40
8/29/2025,09:15:00 pm,0,11.022,25.30
8/29/2025,09:30:00 pm,0,11.010,25.20
8/29/2025,09:45:00 pm,0,10.997,25.10
8/29/2025,10:00:00 pm,0,10.988,25.00
8/29/2025,10:15:00 pm,0,10.979,24.90
8/29/2025,10:30:00 pm,0,10.971,24.80
8/29/2025,10:45:00 pm,0,10.965,24.70
8/29/2025,11:00:00 pm,0,10.959,24.60
8/29/2025,11:15:00 pm,0,10.956,24.50
8/29/2025,11:30:00 pm,0,10.950,24.40
8/29/2025,11:45:00 pm,0,10.949,24.30
8/30/2025,12:00:00 am,0,10.944,24.20
8/30/2025,12:15:00 am,0,10.940,24.20
8/30/2025,12:30:00 am,0,10.937,24.10
8/30/2025,12:45:00 am,0,10.932,24.00
8/30/2025,01:00:00 am,0,10.931,23.90
8/30/2025,01:15:00 am,0,10.929,23.90
8/30/2025,01:30:00 am,0,10.926,23.80
8/30/2025,01:45:00 am,0,10.925,23.80
8/30/2025,02:00:00 am,0,10.923,23.80
8/30/2025,02:15:00 am,0,10.922,23.70
8/30/2025,02:30:00 am,0,10.920,23.70
8/30/2025,02:45:00 am,0,10.917,23.60
8/30/2025,03:00:00 am,0,10.914,23.50
8/30/2025,03:15:00 am,0,10.913,23.50
8/30/2025,03:30:00 am,0,10.911,23.40
8/30/2025,03:45:00 am,0,10.908,23.30
8/30/2025,04:00:00 am,0,10.907,23.20
8/30/2025,04:15:00 am,0,10.905,23.10
8/30/2025,04:30:00 am,0,10.905,23.10
8/30/2025,04:45:00 am,0,10.904,22.90
8/30/2025,05:00:00 am,0,10.904,22.90
8/30/2025,05:15:00 am,0,10.905,22.80
8/30/2025,05:30:00 am,0,10.905,22.70
8/30/2025,05:45:00 am,0,10.907,22.70
8/30/2025,06:00:00 am,0,10.905,22.70
8/30/2025,06:15:00 am,0,10.904,22.60
8/30/2025,06:30:00 am,0,10.902,22.50
8/30/2025,06:45:00 am,0,10.902,22.50
8/30/2025,07:00:00 am,0,10.902,22.40
8/30/2025,07:15:00 am,0,10.904,22.50
8/30/2025,07:30:00 am,0,10.904,22.50
8/30/2025,07:45:00 am,0,10.905,22.50
8/30/2025,08:00:00 am,0,10.902,22.40
8/30/2025,08:15:00 am,0,10.901,22.30
8/30/2025,08:30:00 am,0,10.899,22.30
8/30/2025,08:45:00 am,0,10.899,22.30
8/30/2025,09:00:00 am,0,10.901,22.30
8/30/2025,09:15:00 am,0,10.901,22.40
8/30/2025,09:30:00 am,0,10.905,22.50
8/30/2025,09:45:00 am,0,10.905,22.40
8/30/2025,10:00:00 am,0,10.907,22.40
8/30/2025,10:15:00 am,0,10.908,22.40
8/30/2025,10:30:00 am,0,10.910,22.40
8/30/2025,10:45:00 am,0,10.917,23.00
8/30/2025,11:00:00 am,0,10.922,23.10
8/30/2025,11:15:00 am,0,10.922,22.80
8/30/2025,11:30:00 am,0,10.929,23.10
8/30/2025,11:45:00 am,0,10.947,23.50
8/30/2025,12:00:00 pm,0,10.968,23.70
8/30/2025,12:15:00 pm,0,10.970,23.40
8/30/2025,12:30:00 pm,0,10.985,23.40
8/30/2025,12:45:00 pm,0,11.007,23.70
8/30/2025,01:00:00 pm,0,11.004,24.80
8/30/2025,01:15:00 pm,0,11.009,24.90
8/30/2025,01:30:00 pm,0,11.001,24.50
8/30/2025,01:45:00 pm,0,11.022,25.30
8/30/2025,02:00:00 pm,0,10.997,24.40
8/30/2025,02:15:00 pm,0,11.004,24.50
8/30/2025,02:30:00 pm,0,11.025,25.30
8/30/2025,02:45:00 pm,0,11.030,25.40
8/30/2025,03:00:00 pm,0,11.010,24.80
8/30/2025,03:15:00 pm,0,11.045,25.60
8/30/2025,03:30:00 pm,0,11.015,25.60
8/30/2025,03:45:00 pm,0,11.025,25.60
8/30/2025,04:00:00 pm,0,11.021,27.10
8/30/2025,04:15:00 pm,0,11.019,26.80
8/30/2025,04:30:00 pm,0,11.016,26.50
8/30/2025,04:45:00 pm,0,11.004,26.20
8/30/2025,05:00:00 pm,0,11.004,26.60
8/30/2025,05:15:00 pm,0,10.992,26.30
8/30/2025,05:30:00 pm,0,10.986,25.60
8/30/2025,05:45:00 pm,0,10.997,25.50
8/30/2025,06:00:00 pm,0,10.994,25.30
8/30/2025,06:15:00 pm,0,10.992,25.20
8/30/2025,06:30:00 pm,0,10.991,25.10
8/30/2025,06:45:00 pm,0,10.994,25.20
8/30/2025,07:00:00 pm,0,10.983,25.80
8/30/2025,07:15:00 pm,0,10.971,25.60
8/30/2025,07:30:00 pm,0,10.967,25.70
8/30/2025,07:45:00 pm,0,10.958,25.80
8/30/2025,08:00:00 pm,0,10.947,25.60
8/30/2025,08:15:00 pm,0,10.943,25.60
8/30/2025,08:30:00 pm,0,10.938,25.60
8/30/2025,08:45:00 pm,0,10.931,25.50
8/30/2025,09:00:00 pm,0,10.925,25.40
8/30/2025,09:15:00 pm,0,10.919,25.40
8/30/2025,09:30:00 pm,0,10.913,25.30
8/30/2025,09:45:00 pm,0,10.907,25.20
8/30/2025,10:00:00 pm,0,10.902,25.10
8/30/2025,10:15:00 pm,0,10.896,25.00
8/30/2025,10:30:00 pm,0,10.890,24.90
8/30/2025,10:45:00 pm,0,10.886,24.80
8/30/2025,11:00:00 pm,0,10.883,24.70
8/30/2025,11:15:00 pm,0,10.878,24.60
8/30/2025,11:30:00 pm,0,10.875,24.50
8/30/2025,11:45:00 pm,0,10.874,24.40
8/31/2025,12:00:00 am,0,10.871,24.30
8/31/2025,12:15:00 am,0,10.872,24.30
8/31/2025,12:30:00 am,0,10.871,24.20
8/31/2025,12:45:00 am,0,10.871,24.20
8/31/2025,01:00:00 am,0,10.869,24.10
8/31/2025,01:15:00 am,0,10.869,24.00
8/31/2025,01:30:00 am,0,10.868,24.00
8/31/2025,01:45:00 am,0,10.866,23.90
8/31/2025,02:00:00 am,0,10.866,23.90
8/31/2025,02:15:00 am,0,10.865,23.80
8/31/2025,02:30:00 am,0,10.862,23.70
8/31/2025,02:45:00 am,0,10.862,23.60
8/31/2025,03:00:00 am,0,10.860,23.60
8/31/2025,03:15:00 am,0,10.860,23.60
8/31/2025,03:30:00 am,0,10.862,23.60
8/31/2025,03:45:00 am,0,10.860,23.40
8/31/2025,04:00:00 am,0,10.859,23.30
8/31/2025,04:15:00 am,0,10.859,23.30
8/31/2025,04:30:00 am,0,10.857,23.20
8/31/2025,04:45:00 am,0,10.857,23.10
8/31/2025,05:00:00 am,0,10.859,23.10
8/31/2025,05:15:00 am,0,10.859,23.00
8/31/2025,05:30:00 am,0,10.860,22.90
8/31/2025,05:45:00 am,0,10.862,22.90
8/31/2025,06:00:00 am,0,10.863,22.80
8/31/2025,06:15:00 am,0,10.862,22.70
8/31/2025,06:30:00 am,0,10.863,22.70
8/31/2025,06:45:00 am,0,10.863,22.70
8/31/2025,07:00:00 am,0,10.862,22.60
8/31/2025,07:15:00 am,0,10.862,22.70
8/31/2025,07:30:00 am,0,10.862,22.60
8/31/2025,07:45:00 am,0,10.862,22.60
8/31/2025,08:00:00 am,0,10.860,22.50
8/31/2025,08:15:00 am,0,10.862,22.60
8/31/2025,08:30:00 am,0,10.860,22.50
8/31/2025,08:45:00 am,0,10.860,22.40
8/31/2025,09:00:00 am,0,10.860,22.40
8/31/2025,09:15:00 am,0,10.860,22.40
8/31/2025,09:30:00 am,0,10.860,22.50
8/31/2025,09:45:00 am,0,10.865,22.70
8/31/2025,10:00:00 am,0,10.875,23.00
8/31/2025,10:15:00 am,0,10.878,23.20
8/31/2025,10:30:00 am,0,10.877,23.00
8/31/2025,10:45:00 am,0,10.878,22.90
8/31/2025,11:00:00 am,0,10.878,22.90
8/31/2025,11:15:00 am,0,10.878,22.90
8/31/2025,11:30:00 am,0,10.877,22.90
8/31/2025,11:45:00 am,0,10.877,22.80
8/31/2025,12:00:00 pm,0,10.880,22.90
8/31/2025,12:15:00 pm,0,10.881,23.00
8/31/2025,12:30:00 pm,0,10.883,23.00
8/31/2025,12:45:00 pm,0,10.884,23.10
8/31/2025,01:00:00 pm,0,10.889,23.30
8/31/2025,01:15:00 pm,0,10.889,23.30
8/31/2025,01:30:00 pm,0,10.890,23.30
8/31/2025,01:45:00 pm,0,10.890,23.30
8/31/2025,02:00:00 pm,0,10.910,26.00
8/31/2025,02:15:00 pm,0,10.919,25.30
8/31/2025,02:30:00 pm,0,10.920,24.60
8/31/2025,02:45:00 pm,0,10.925,24.40
8/31/2025,03:00:00 pm,0,10.944,27.00
8/31/2025,03:15:00 pm,0,10.938,26.50
8/31/2025,03:30:00 pm,0,10.919,26.90
8/31/2025,03:45:00 pm,0,10.908,27.00
8/31/2025,04:00:00 pm,0,10.904,27.20
8/31/2025,04:15:00 pm,0,10.890,26.80
8/31/2025,04:30:00 pm,0,10.892,26.90
8/31/2025,04:45:00 pm,0,10.883,27.00
8/31/2025,05:00:00 pm,0,10.877,27.20
8/31/2025,05:15:00 pm,0,10.878,27.20
8/31/2025,05:30:00 pm,0,10.883,27.20
8/31/2025,05:45:00 pm,0,10.875,26.40
8/31/2025,06:00:00 pm,0,10.875,26.70
8/31/2025,06:15:00 pm,0,10.877,26.90
8/31/2025,06:30:00 pm,0,10.875,26.60
8/31/2025,06:45:00 pm,0,10.868,26.60
8/31/2025,07:00:00 pm,0,10.872,26.30
8/31/2025,07:15:00 pm,0,10.877,25.70
8/31/2025,07:30:00 pm,0,10.878,25.70
8/31/2025,07:45:00 pm,0,10.877,25.70
8/31/2025,08:00:00 pm,0,10.874,25.70
8/31/2025,08:15:00 pm,0,10.871,25.60
8/31/2025,08:30:00 pm,0,10.868,25.50
8/31/2025,08:45:00 pm,0,10.863,25.40
8/31/2025,09:00:00 pm,0,10.859,25.40
8/31/2025,09:15:00 pm,0,10.853,25.20
8/31/2025,09:30:00 pm,0,10.851,25.20
8/31/2025,09:45:00 pm,0,10.850,25.10
8/31/2025,10:00:00 pm,0,10.848,25.10
8/31/2025,10:15:00 pm,0,10.845,25.00
8/31/2025,10:30:00 pm,0,10.842,24.90
8/31/2025,10:45:00 pm,0,10.842,24.80
8/31/2025,11:00:00 pm,0,10.841,24.70
8/31/2025,11:15:00 pm,0,10.839,24.60
8/31/2025,11:30:00 pm,0,10.842,24.60
8/31/2025,11:45:00 pm,0,10.841,24.50
9/1/2025,12:00:00 am,0,10.841,24.40
9/1/2025,12:15:00 am,0,10.838,24.30
9/1/2025,12:30:00 am,0,10.841,24.30
9/1/2025,12:45:00 am,0,10.838,24.10
9/1/2025,01:00:00 am,0,10.838,24.00
9/1/2025,01:15:00 am,0,10.836,23.90
9/1/2025,01:30:00 am,0,10.836,23.90
9/1/2025,01:45:00 am,0,10.835,23.90
9/1/2025,02:00:00 am,0,10.836,23.90
9/1/2025,02:15:00 am,0,10.836,23.90
9/1/2025,02:30:00 am,0,10.836,23.80
9/1/2025,02:45:00 am,0,10.836,23.80
9/1/2025,03:00:00 am,0,10.839,23.80
9/1/2025,03:15:00 am,0,10.845,23.80
9/1/2025,03:30:00 am,0,10.845,23.70
9/1/2025,03:45:00 am,0,10.845,23.60
9/1/2025,04:00:00 am,0,10.847,23.60
9/1/2025,04:15:00 am,0,10.848,23.60
9/1/2025,04:30:00 am,0,10.848,23.50
9/1/2025,04:45:00 am,0,10.847,23.40
9/1/2025,05:00:00 am,0,10.848,23.40
9/1/2025,05:15:00 am,0,10.850,23.50
9/1/2025,05:30:00 am,0,10.848,23.40
9/1/2025,05:45:00 am,0,10.851,23.40
9/1/2025,06:00:00 am,0,10.851,23.30
9/1/2025,06:15:00 am,0,10.853,23.20
9/1/2025,06:30:00 am,0,10.854,23.20
9/1/2025,06:45:00 am,0,10.856,23.10
9/1/2025,07:00:00 am,0,10.856,23.00
9/1/2025,07:15:00 am,0,10.856,22.90
9/1/2025,07:30:00 am,0,10.854,22.90
9/1/2025,07:45:00 am,0,10.857,22.90
9/1/2025,08:00:00 am,0,10.854,22.80
9/1/2025,08:15:00 am,0,10.853,22.60
9/1/2025,08:30:00 am,0,10.851,22.40
9/1/2025,08:45:00 am,0,10.851,22.40
9/1/2025,09:00:00 am,0,10.853,22.40
9/1/2025,09:15:00 am,0,10.856,22.50
9/1/2025,09:30:00 am,0,10.859,22.60
9/1/2025,09:45:00 am,0,10.863,22.80
9/1/2025,10:00:00 am,0,10.868,22.80
9/1/2025,10:15:00 am,0,10.872,23.00
9/1/2025,10:30:00 am,0,10.883,23.50
9/1/2025,10:45:00 am,0,10.877,23.60
9/1/2025,11:00:00 am,0,10.884,23.90
9/1/2025,11:15:00 am,0,10.895,25.00
9/1/2025,11:30:00 am,0,10.887,24.10
9/1/2025,11:45:00 am,0,10.886,23.70
9/1/2025,12:00:00 pm,0,10.898,24.90
9/1/2025,12:15:00 pm,0,10.925,25.50
9/1/2025,12:30:00 pm,0,10.896,25.50
9/1/2025,12:45:00 pm,0,10.904,25.60
9/1/2025,01:00:00 pm,0,10.899,25.70
9/1/2025,01:15:00 pm,0,10.899,25.90
9/1/2025,01:30:00 pm,0,10.896,26.00
9/1/2025,01:45:00 pm,0,10.895,25.90
9/1/2025,02:00:00 pm,0,10.895,26.20
9/1/2025,02:15:00 pm,0,10.893,26.00
9/1/2025,02:30:00 pm,0,10.908,26.20
9/1/2025,02:45:00 pm,0,10.905,26.00
9/1/2025,03:00:00 pm,0,10.908,26.60
9/1/2025,03:15:00 pm,0,10.911,27.20
9/1/2025,03:30:00 pm,0,10.911,26.90
9/1/2025,03:45:00 pm,0,10.905,26.60
9/1/2025,04:00:00 pm,0,10.904,27.00
9/1/2025,04:15:00 pm,0,10.905,26.10
9/1/2025,04:30:00 pm,0,10.911,26.80
9/1/2025,04:45:00 pm,0,10.907,27.10
9/1/2025,05:00:00 pm,0,10.907,27.40
9/1/2025,05:15:00 pm,0,10.901,26.90
9/1/2025,05:30:00 pm,0,10.898,27.40
9/1/2025,05:45:00 pm,0,10.905,27.20
9/1/2025,06:00:00 pm,0,10.895,26.90
9/1/2025,06:15:00 pm,0,10.889,27.40
9/1/2025,06:30:00 pm,0,10.895,27.00
9/1/2025,06:45:00 pm,0,10.896,26.70
9/1/2025,07:00:00 pm,0,10.895,26.40
9/1/2025,07:15:00 pm,0,10.890,26.00
9/1/2025,07:30:00 pm,0,10.890,26.20
9/1/2025,07:45:00 pm,0,10.889,25.90
9/1/2025,08:00:00 pm,0,10.886,25.70
9/1/2025,08:15:00 pm,0,10.881,25.50
9/1/2025,08:30:00 pm,0,10.878,25.50
9/1/2025,08:45:00 pm,0,10.880,25.40
