,Date,Time,LEVEL,WSE_ft,TEMPERATURE
1,10/1/2018 0:00,0:00:00,0.027,8.434,10.1
2,10/1/2018 0:00,0:15:00,0.025,8.432,9.9
3,10/1/2018 0:00,0:30:00,0.025,8.432,9.7
4,10/1/2018 0:00,0:45:00,0.025,8.432,9.6
5,10/1/2018 0:00,1:00:00,0.023,8.43,9.6
6,10/1/2018 0:00,1:15:00,0.027,8.434,9.4
7,10/1/2018 0:00,1:30:00,0.025,8.432,9.3
8,10/1/2018 0:00,1:45:00,0.025,8.432,9.2
9,10/1/2018 0:00,2:00:00,0.024,8.431,9
10,10/1/2018 0:00,2:15:00,0.028,8.435,9
11,10/1/2018 0:00,2:30:00,0.027,8.434,8.8
12,10/1/2018 0:00,2:45:00,0.026,8.433,8.8
13,10/1/2018 0:00,3:00:00,0.023,8.43,8.7
14,10/1/2018 0:00,3:15:00,0.023,8.43,8.6
15,10/1/2018 0:00,3:30:00,0.025,8.432,8.5
16,10/1/2018 0:00,3:45:00,0.022,8.429,8.5
17,10/1/2018 0:00,4:00:00,0.026,8.433,8.6
18,10/1/2018 0:00,4:15:00,0.026,8.433,8.5
19,10/1/2018 0:00,4:30:00,0.026,8.433,8.4
20,10/1/2018 0:00,4:45:00,0.024,8.431,8.3
21,10/1/2018 0:00,5:00:00,0.024,8.431,8.2
22,10/1/2018 0:00,5:15:00,0.025,8.432,8.1
23,10/1/2018 0:00,5:30:00,0.023,8.43,8.2
24,10/1/2018 0:00,5:45:00,0.022,8.429,8.2
25,10/1/2018 0:00,6:00:00,0.023,8.43,8.3
26,10/1/2018 0:00,6:15:00,0.023,8.43,8.6
27,10/1/2018 0:00,6:30:00,0.026,8.433,8.7
28,10/1/2018 0:00,6:45:00,0.023,8.43,8.6
29,10/1/2018 0:00,7:00:00,0.025,8.432,8.7
30,10/1/2018 0:00,7:15:00,0.021,8.428,8.9
31,10/1/2018 0:00,7:30:00,0.025,8.432,9.3
32,10/1/2018 0:00,7:45:00,0.021,8.428,10
33,10/1/2018 0:00,8:00:00,0.019,8.426,12.6
34,10/1/2018 0:00,8:15:00,0.032,8.439,17.6
35,10/1/2018 0:00,8:30:00,0.048,8.455,22.7
36,10/1/2018 0:00,8:45:00,0.072,8.479,24.2
37,10/1/2018 0:00,9:00:00,0.059,8.466,26.4
38,10/1/2018 0:00,9:15:00,0.054,8.461,30.1
39,10/1/2018 0:00,9:30:00,0.056,8.463,30.3
40,10/1/2018 0:00,9:45:00,0.064,8.471,28
41,10/1/2018 0:00,10:00:00,0.057,8.464,27.2
42,10/1/2018 0:00,10:15:00,0.045,8.452,30.2
43,10/1/2018 0:00,10:30:00,0.046,8.453,31.3
44,10/1/2018 0:00,10:45:00,0.059,8.466,29
45,10/1/2018 0:00,11:00:00,0.05,8.457,28.6
46,10/1/2018 0:00,11:15:00,0.041,8.448,32.2
47,10/1/2018 0:00,11:30:00,0.044,8.451,34.3
48,10/1/2018 0:00,11:45:00,0.047,8.454,34.8
49,10/1/2018 0:00,12:00:00,0.049,8.456,34.4
50,10/1/2018 0:00,12:15:00,0.045,8.452,34.1
51,10/1/2018 0:00,12:30:00,0.047,8.454,33.3
52,10/1/2018 0:00,12:45:00,0.047,8.454,32.8
53,10/1/2018 0:00,13:00:00,0.048,8.455,33.6
54,10/1/2018 0:00,13:15:00,0.053,8.46,32.8
55,10/1/2018 0:00,13:30:00,0.052,8.459,32.4
56,10/1/2018 0:00,13:45:00,0.059,8.466,31.8
57,10/1/2018 0:00,14:00:00,0.051,8.458,32.7
58,10/1/2018 0:00,14:15:00,0.055,8.462,33.5
